country,year,iso_code,population,gdp,biofuel_cons_change_pct,biofuel_cons_change_twh,biofuel_cons_per_capita,biofuel_consumption,biofuel_elec_per_capita,biofuel_electricity,biofuel_share_elec,biofuel_share_energy,carbon_intensity_elec,coal_cons_change_pct,coal_cons_change_twh,coal_cons_per_capita,coal_consumption,coal_elec_per_capita,coal_electricity,coal_prod_change_pct,coal_prod_change_twh,coal_prod_per_capita,coal_production,coal_share_elec,coal_share_energy,electricity_demand,electricity_demand_per_capita,electricity_generation,electricity_share_energy,energy_cons_change_pct,energy_cons_change_twh,energy_per_capita,energy_per_gdp,fossil_cons_change_pct,fossil_cons_change_twh,fossil_elec_per_capita,fossil_electricity,fossil_energy_per_capita,fossil_fuel_consumption,fossil_share_elec,fossil_share_energy,gas_cons_change_pct,gas_cons_change_twh,gas_consumption,gas_elec_per_capita,gas_electricity,gas_energy_per_capita,gas_prod_change_pct,gas_prod_change_twh,gas_prod_per_capita,gas_production,gas_share_elec,gas_share_energy,greenhouse_gas_emissions,hydro_cons_change_pct,hydro_cons_change_twh,hydro_consumption,hydro_elec_per_capita,hydro_electricity,hydro_energy_per_capita,hydro_share_elec,hydro_share_energy,low_carbon_cons_change_pct,low_carbon_cons_change_twh,low_carbon_consumption,low_carbon_elec_per_capita,low_carbon_electricity,low_carbon_energy_per_capita,low_carbon_share_elec,low_carbon_share_energy,net_elec_imports,net_elec_imports_share_demand,nuclear_cons_change_pct,nuclear_cons_change_twh,nuclear_consumption,nuclear_elec_per_capita,nuclear_electricity,nuclear_energy_per_capita,nuclear_share_elec,nuclear_share_energy,oil_cons_change_pct,oil_cons_change_twh,oil_consumption,oil_elec_per_capita,oil_electricity,oil_energy_per_capita,oil_prod_change_pct,oil_prod_change_twh,oil_prod_per_capita,oil_production,oil_share_elec,oil_share_energy,other_renewable_consumption,other_renewable_electricity,other_renewable_exc_biofuel_electricity,other_renewables_cons_change_pct,other_renewables_cons_change_twh,other_renewables_elec_per_capita,other_renewables_elec_per_capita_exc_biofuel,other_renewables_energy_per_capita,other_renewables_share_elec,other_renewables_share_elec_exc_biofuel,other_renewables_share_energy,per_capita_electricity,primary_energy_consumption,renewables_cons_change_pct,renewables_cons_change_twh,renewables_consumption,renewables_elec_per_capita,renewables_electricity,renewables_energy_per_capita,renewables_share_elec,renewables_share_energy,solar_cons_change_pct,solar_cons_change_twh,solar_consumption,solar_elec_per_capita,solar_electricity,solar_energy_per_capita,solar_share_elec,solar_share_energy,wind_cons_change_pct,wind_cons_change_twh,wind_consumption,wind_elec_per_capita,wind_electricity,wind_energy_per_capita,wind_share_elec,wind_share_energy,razao_renovavel_fossil_energy,co2_per_unit_energy,variacao_co2_pct,variacao_renewables_share_energy_pp,tendencia_renovaveis_5anos,media_movel_co2_3anos,indice_transicao_preliminar,cluster_transicao,perfil_transicao,modelo_cluster_escolhido
Argentina,2000,ARG,37213986.0,536480965694.0,,0.0,0.0,0.0,10.479930877685549,0.3899999856948852,0.4383006989955902,0.0,355.4700012207031,-24.00312805175781,-2.372821807861328,201.8769989013672,7.51264762878418,47.83147811889648,1.7799999713897705,-22.91667366027832,-0.5058647394180298,45.72325134277344,1.7015444040298462,2.0004494190216064,1.0761371850967407,90.1999969482422,2423.81982421875,88.9800033569336,14.002554893493652,-0.2712007761001587,-1.9134521484375,18907.802734375,1.3115744590759275,-3.3645715713500977,-20.899890899658203,1445.6929931640625,53.79999923706055,16130.3740234375,600.2755126953125,60.4630241394043,85.9854965209961,2.626695156097412,8.2662353515625,322.9672241210937,1313.4847412109375,48.880001068115234,8678.6513671875,8.215221405029297,27.6190185546875,9776.2236328125,363.812255859375,54.933692932128906,46.26292037963867,31.6299991607666,33.54918670654297,19.940135955810547,79.37566375732422,767.9908447265625,28.57999992370605,2132.952392578125,32.11957550048828,11.370038986206056,22.130395889282227,17.747133255004883,97.83698272705078,945.343505859375,35.18000030517578,2629.0380859375,39.53697204589844,14.014501571655272,1.2200000286102295,1.3525499105453491,-13.073457717895508,-2.580554962158203,17.15833282470703,166.06658935546875,6.179999828338623,461.0721435546875,6.945380687713623,2.457817792892456,-9.033818244934082,-26.79330444335937,269.7956237792969,84.37688446044922,3.140000104904175,7249.8447265625,-0.818906307220459,-3.97039794921875,12921.78515625,480.8711242675781,3.52888298034668,38.64643859863281,1.2063384056091309,0.3899999856948852,,47.33906173706055,0.3875885009765625,10.479930877685549,,32.416263580322266,0.4383006989955902,,0.1728000044822693,2391.03662109375,703.6347045898438,33.661842346191406,20.32768821716309,80.67864990234375,779.2769165039062,29.0,2167.9658203125,32.591590881347656,11.556683540344238,38.461544036865234,2.777777990559116e-05,9.999999747378752e-05,0.0,0.0,0.0026871617883443,0.0,1.4324338735605124e-05,-0.0661278888583183,-6.388872861862183e-05,0.0965500026941299,0.8061485290527344,0.0299999993294477,2.594454765319824,0.0337154380977153,0.0138301495462656,,,,2.950672149658203,0.0645780563354473,,0.2821611101038536,1,baixa_transicao,kmeans_k3
Argentina,2001,ARG,37624817.0,514867255248.0,,0.0,0.0,0.0,9.568153381347656,0.3600000143051147,0.3993787765502929,0.0,302.0899963378906,-18.046838760375977,-1.3557953834533691,163.6380615234375,6.1568522453308105,36.14635467529297,1.3600000143051147,-28.18532943725586,-0.4795858860015869,32.47745895385742,1.2219585180282593,1.508764147758484,0.9047632813453674,91.88999938964844,2442.27099609375,90.13999938964844,14.955482482910156,-2.315682411193848,-16.2939453125,18268.28125,1.3349863290786743,-6.930715084075928,-41.60338592529297,1224.9893798828125,46.09000015258789,14848.5,558.672119140625,51.13157272338867,82.0981216430664,-6.383611679077148,-20.616973876953125,302.3502502441406,1149.77294921875,43.2599983215332,8035.92626953125,-0.7217357158660889,-2.625762939453125,9599.6875,361.1864929199219,47.99201202392578,44.43104934692383,27.229999542236328,28.01352500915528,21.674545288085938,101.05020904541016,972.230712890625,36.58000183105469,2685.73291015625,40.581321716308594,14.849555015563965,25.24236297607422,23.98406791687012,121.82105255126952,1170.769775390625,44.04999923706055,3237.78466796875,48.86842727661133,17.901878356933594,1.75,1.9044510126113887,14.278775215148926,2.3416671752929688,19.5,187.64210510253903,7.059999942779541,518.2749633789062,7.832261085510254,2.8655688762664795,-7.276105880737305,-19.630615234375,250.16500854492188,39.0699577331543,1.4700000286102295,6648.93603515625,6.2439069747924805,30.025146484375,13578.7041015625,510.8962707519531,1.6307965517044067,36.76231002807617,1.1343694925308228,0.3600000143051147,,-5.965895175933838,-0.0719689130783081,9.568153381347656,,30.14950180053711,0.3993787765502929,,0.1666981428861618,2395.759033203125,687.3407592773438,27.577924728393555,21.64240074157715,102.32105255126952,983.1277465820312,36.9900016784668,2719.509765625,41.03616714477539,15.036309242248535,19.444440841674805,1.8784536223392934e-05,0.0001187845336971,0.0,0.0,0.0031570794526487,0.0,1.745565350574907e-05,42.01334762573242,0.0398063659667968,0.1363563686609268,1.3289101123809814,0.050000000745058,3.6241071224212646,0.0554692707955837,0.0200378745794296,,,,3.479625701904297,0.7286511421203608,,0.372719064845565,1,baixa_transicao,kmeans_k3
Argentina,2002,ARG,38029345.0,460558541367.0,,0.0,0.0,0.0,13.936605453491213,0.5299999713897705,0.6265515685081482,0.0,294.8299865722656,-25.509069442749023,-1.5705556869506836,120.59888458251952,4.586296558380127,21.299341201782227,0.8100000023841858,-75.26881408691406,-0.9197536706924438,7.946621894836426,0.302204817533493,0.9575600624084472,0.7041348218917847,90.51000213623048,2380.004150390625,84.58999633789062,14.64233684539795,-4.246757984161377,-29.189697265625,17306.400390625,1.429028034210205,-4.146227836608887,-23.163818359375,1114.66552734375,42.38999938964844,14081.44921875,535.50830078125,50.11230850219727,82.21666717529297,-2.6374998092651367,-7.9744873046875,294.3757629394531,1070.4891357421875,40.709999084472656,7740.7529296875,-2.7732913494110107,-10.016754150390623,9234.177734375,351.16973876953125,48.126258850097656,45.195556640625,24.940000534057617,-2.190635204315185,-3.0260086059570312,98.02420043945312,940.8523559570312,35.779998779296875,2577.59375,42.29814529418945,15.049670219421388,-4.19578218460083,-5.991482257843018,115.82957458496094,1109.66943359375,42.20000076293945,3045.79443359375,49.8876953125,17.7833309173584,5.920000076293945,6.540713787078857,-17.537893295288086,-3.5520553588867188,15.94794464111328,153.0397186279297,5.820000171661377,419.3589172363281,6.880246162414551,2.4484903812408447,-5.44391679763794,-13.6187744140625,236.5462341308593,22.877071380615234,0.8700000047683716,6220.09765625,-1.4913043975830078,-7.6190185546875,13233.9189453125,503.2772521972656,1.028490424156189,36.31697845458984,1.6561880111694336,0.5299999713897705,,46.000755310058594,0.5218185186386108,13.936605453491213,,43.55026245117188,0.6265515685081482,,0.2542747855186462,2224.334716796875,658.1510620117188,-1.6498128175735474,-2.439426898956299,99.88162994384766,956.6296997070312,36.380001068115234,2626.435546875,43.007450103759766,15.334840774536133,9.302329063415527,9.982584742829204e-06,0.00012876711844,0.0,0.0,0.0033859936520457,0.0,1.976963540073484e-05,48.71051025390625,0.0647532045841217,0.2011095732450485,1.8406838178634644,0.0700000002980232,5.288273334503174,0.0827521011233329,0.0308763831853866,,,,0.2985315322875976,1.553976821899413,,0.3800877565622428,1,baixa_transicao,kmeans_k3
Argentina,2003,ARG,38424283.0,503104157615.0,,0.0,0.0,0.0,22.902183532714844,0.8799999952316284,0.9557945132255554,0.0,316.3900146484375,21.969106674194336,1.007568359375,145.5814971923828,5.593864917755127,24.46369743347168,0.9399999976158142,93.47830963134766,0.2824959456920624,15.216959953308104,0.5847007632255554,1.0209623575210571,0.8010475039482117,97.0999984741211,2527.0478515625,92.06999969482422,14.731934547424316,7.081457614898682,46.606689453125,18341.46875,1.4008188247680664,8.801084518432617,47.13053894042969,1294.493896484375,49.7400016784668,15163.2978515625,582.6388549804688,54.024112701416016,83.43450927734375,14.238513946533203,41.91473388671875,336.2904968261719,1242.7037353515625,47.75,8752.0302734375,13.65272617340088,47.944244384765625,10387.0244140625,399.1139831542969,51.86271286010742,48.15716171264648,29.1299991607666,-5.529134750366211,-5.9245452880859375,92.0996551513672,879.6520385742188,33.79999923706055,2396.912841796875,36.71119689941406,13.188770294189451,0.2888999283313751,-0.1496572941541671,115.67991638183594,1101.6470947265625,42.33000183105469,3010.593994140625,45.97589111328125,16.565488815307617,5.03000020980835,5.180226802825928,29.97766494750977,4.667858123779297,20.61580276489257,197.0108337402344,7.570000171661377,536.5305786132812,8.222004890441895,2.952205181121826,1.7790334224700928,4.2082366943359375,240.7544708251953,27.32646751403809,1.0499999523162842,6265.685546875,-0.4160292446613312,-2.093780517578125,13043.404296875,501.1834716796875,1.1404365301132202,34.47629928588867,2.751870393753052,0.8799999952316284,,66.1568832397461,1.0956823825836182,22.902183532714844,,71.61800384521484,0.9557945132255554,,0.3940708041191101,2396.14111328125,704.7577514648438,-4.461169719696045,-4.8175153732299805,95.0641098022461,904.63623046875,34.7599983215332,2474.0634765625,37.75387954711914,13.613283157348633,38.29786682128906,4.834459105040878e-05,0.0001771117094904,0.0,0.0,0.0046093692071735,0.0,2.536258762120269e-05,6.197131156921387,0.0112991482019424,0.2124087214469909,2.082016706466675,0.0799999982118606,5.527981281280518,0.0868904069066047,0.0304171591997146,,,,-1.7215576171875,1.379270076751707,,0.3432099731412187,1,baixa_transicao,kmeans_k3
Argentina,2004,ARG,38815915.0,550306327169.0,,0.0,0.0,0.0,22.41348648071289,0.8700000047683716,0.8677438497543335,0.0,357.6700134277344,70.18321990966797,3.925954341888428,245.2555694580078,9.519819259643556,43.28121566772461,1.6799999475479126,-42.69663619995117,-0.2496475577354431,8.631851196289062,0.3350532054901123,1.6756432056427002,1.2771015167236328,103.7300033569336,2672.357666015625,100.26000213623048,14.78963565826416,6.583713531494141,46.39923095703125,19351.779296875,1.3649797439575195,9.611161231994627,55.99835586547852,1571.2628173828125,60.9900016784668,16452.97265625,638.63720703125,60.83183670043945,85.67436981201172,9.456342697143556,31.80078125,368.0912780761719,1422.354736328125,55.209999084472656,9482.9990234375,9.35672378540039,37.343994140625,11244.3046875,436.4579772949219,55.06682586669922,49.38013458251953,35.86000061035156,-9.876083374023438,-9.54571533203125,82.55393981933594,784.7296142578125,30.459999084472656,2126.806396484375,30.38100814819336,11.0747652053833,-7.214998722076416,-8.893275260925293,106.78663635253906,1011.6984252929688,39.27000045776367,2751.1044921875,39.16816329956055,14.325627326965332,3.470000028610229,3.345223188400269,4.004757881164551,0.7094001770019531,21.32520294189453,202.7518768310547,7.869999885559082,549.393310546875,7.84959077835083,2.8608157634735107,8.420039176940918,20.27162170410156,261.0260925292969,105.62677764892578,4.099999904632568,6724.71826171875,-4.799236297607422,-24.052978515625,12292.1357421875,477.1304931640625,4.089367389678955,35.01713943481445,2.7109761238098145,0.8700000047683716,,-1.4860574007034302,-0.0408942699432373,22.41348648071289,,69.84187316894531,0.8677438497543335,,0.3636825084686279,2582.961181640625,751.156982421875,-9.65719223022461,-9.602675437927246,85.46143341064453,808.946533203125,31.39999961853028,2201.711181640625,31.31857109069824,11.464811325073242,7.692310333251953,1.2590200640261172e-05,0.0001897019101306,0.0,0.0,0.0048872199840843,0.0,2.544886592659168e-05,-7.06570291519165,-0.0160780847072601,0.1963306367397308,1.803384065628052,0.0700000002980232,5.057993412017822,0.0698184743523597,0.0263381227850914,,,,-2.14847183227539,-0.1606770515441902,,0.28111837844578,1,baixa_transicao,kmeans_k3
Argentina,2005,ARG,39216786.0,601050418142.0,,0.0,0.0,0.0,23.45934295654297,0.9200000166893004,0.8699764013290405,0.0,357.1600036621094,15.145517349243164,1.4418258666992188,279.5140991210937,10.961645126342772,55.58844375610352,2.180000066757202,-50.9803581237793,-0.1708113253116607,4.188050270080566,0.1642418801784515,2.0614657402038574,1.3877480030059814,109.62999725341795,2795.486572265625,105.75,14.719074249267578,6.018693923950195,45.2098388671875,20306.78515625,1.3249584436416626,5.909197807312012,37.73833465576172,1623.5394287109375,63.66999816894531,17247.091796875,676.3755493164062,60.20803451538086,85.6293716430664,6.737115859985352,24.798736572265625,392.8900146484375,1420.3101806640625,55.70000076293945,10018.4140625,1.671125888824463,7.29376220703125,11315.3515625,443.7517395019531,52.67139434814453,49.740013122558594,37.77000045776367,12.322516441345217,9.424919128417969,91.9788589477539,872.5855712890625,34.220001220703125,2345.39501953125,32.35934066772461,11.64455509185791,7.145160675048828,6.725101470947266,113.5117416381836,1073.010009765625,42.08000183105469,2894.46826171875,39.79196548461914,14.370625495910645,3.880000114440918,3.539177417755127,-12.657259941101074,-2.849395751953125,18.475807189941406,175.18008422851562,6.869999885559082,471.119873046875,6.496453762054443,2.339043617248535,4.404836177825928,11.497772216796877,272.5238647460937,147.64085388183594,5.789999961853027,6949.16357421875,-4.038334846496582,-19.26812744140625,11675.1630859375,457.86236572265625,5.47517728805542,34.50161361694336,2.8640618324279785,0.9200000166893004,,5.64688777923584,0.153085708618164,23.45934295654297,,73.03153228759766,0.8699764013290405,,0.3625912070274353,2696.54931640625,796.3668212890625,12.107364654541016,9.57449722290039,95.0359344482422,897.8297729492188,35.209999084472656,2423.348388671875,33.29550552368164,12.03158187866211,15.714280128479004,2.8040012693963945e-05,0.0002177419228246,0.0,0.0,0.0055522634647786,0.0,2.756620233412832e-05,-1.0025980472564695,-0.0035358518362045,0.1927947849035263,1.7849498987197876,0.0700000002980232,4.916129112243652,0.0661938562989234,0.0244078859686851,,,,0.5667705535888672,-0.987948417663576,,0.2864534602367706,1,baixa_transicao,kmeans_k3
Argentina,2006,ARG,39622113.0,652296814311.0,,0.0,0.0,0.0,26.50035285949707,1.0499999523162842,0.9256809949874878,0.0,349.9100036621094,-9.467782020568848,-1.037824630737305,250.461669921875,9.923820495605469,50.22447967529297,1.9900000095367432,463.9994812011719,0.762081503868103,23.37894821166992,0.9263233542442322,1.7543859481811523,1.1970607042312622,115.79000091552734,2922.358154296875,113.43000030517578,15.121376037597656,4.984152793884277,39.692138671875,21100.81640625,1.2817155122756958,3.976288080215454,26.89463996887207,1680.1224365234375,66.56999969482422,17749.435546875,703.2701416015625,58.68817901611328,84.83195495605469,3.465343952178955,13.614990234375,406.5050048828125,1423.4476318359375,56.400001525878906,10259.548828125,1.0300287008285522,4.570770263671875,11314.95703125,448.322509765625,49.72229766845703,49.03466033935547,39.68999862670898,11.10317039489746,9.666091918945312,101.64495086669922,959.565185546875,38.02000045776367,2565.359130859375,33.51847076416016,12.260920524597168,11.347683906555176,12.23375415802002,125.74549102783205,1182.6729736328125,46.86000061035156,3173.619140625,41.31182098388672,15.168047904968262,2.359999895095825,2.038172483444214,12.338134765625,2.168577194213867,20.64438438415528,194.84068298339844,7.71999979019165,521.0318603515625,6.805959224700928,2.4902284145355225,5.253658771514893,14.317474365234377,286.8413391113281,206.45037841796875,8.180000305175781,7239.42578125,0.1627915650606155,0.745361328125,11574.5400390625,458.6077270507813,7.211496353149414,34.6002311706543,3.269715547561645,1.0499999523162842,,14.163581848144531,0.405653715133667,26.50035285949707,,82.52249145507812,0.9256809949874878,,0.3944093883037567,2862.79541015625,836.0589599609375,11.154316902160645,10.065176963806152,105.10111236572266,987.8322143554688,39.13999938964844,2652.587158203125,34.505863189697266,12.67781925201416,11.11111545562744,2.289978147018701e-05,0.0002406417042948,0.0,0.0,0.00607341947034,0.0,2.902740197896492e-05,-2.8997044563293457,-0.006591573357582,0.1862032115459442,1.7666902542114258,0.0700000002980232,4.699477195739746,0.0617120675742626,0.0224607586860656,,,,0.6462373733520508,-0.689574432373049,,0.301799811273773,1,baixa_transicao,kmeans_k3
Argentina,2007,ARG,40016767.0,714725198062.0,,0.0,0.0,0.0,26.7387924194336,1.0700000524520874,0.9425652623176576,0.0,388.0400085449219,44.70597457885742,4.436540603637695,358.8586120605469,14.360361099243164,58.47548675537109,2.3399999141693115,-21.98580551147461,-0.2036596536636352,18.059022903442383,0.7226637005805969,2.0613107681274414,1.6633167266845703,121.12000274658205,3026.7314453125,113.5199966430664,14.241239547729492,3.949126958847046,33.01702880859375,21717.796875,1.2159582376480105,7.714165210723877,54.25141906738281,1847.2255859375,73.91999816894531,18930.10546875,757.5216064453125,65.11627960205078,87.74140930175781,5.07176399230957,20.616973876953125,427.1219787597656,1503.86962890625,60.18000030517578,10673.5751953125,-2.754884958267212,-12.35076904296875,10894.7265625,435.97174072265625,53.01268768310547,49.47223281860352,44.04999923706055,-17.874588012695312,-18.612632751464844,83.03231811523438,780.1729736328125,31.21999931335449,2074.938232421875,27.50176239013672,9.617380142211914,-15.464674949645996,-19.91011047363281,105.83538818359376,989.5851440429688,39.59999847412109,2644.77587890625,34.88372039794922,12.258588790893556,7.599999904632568,6.274768829345703,-6.0484395027160645,-1.3518295288085938,19.29255485534668,181.174057006836,7.25,482.1117858886719,6.386539936065674,2.234597682952881,10.179113388061523,29.197906494140625,316.03924560546875,284.8805847167969,11.399999618530272,7897.67041015625,-3.0905346870422363,-14.173431396484377,11106.2021484375,444.4342956542969,10.042283058166504,36.60586166381836,3.346410751342773,1.0700000524520874,,2.3456218242645264,0.0766952037811279,26.7387924194336,,83.62521362304688,0.9425652623176576,,0.3876045346260071,2836.810791015625,869.0759887695312,-17.322595596313477,-18.55828094482422,86.54283142089844,808.4110717773438,32.349998474121094,2162.664306640625,28.497180938720703,10.023991584777832,20.999998092651367,4.898596671409905e-05,0.0002896276710089,0.0,0.0,0.0072376579046249,0.0,3.354668660904281e-05,-11.555145263671877,-0.0223920345306396,0.1638111770153045,1.4993714094161987,0.0599999986588954,4.093563556671143,0.052854124456644,0.0189737472683191,,,,-2.653827667236328,-0.5965575218200704,,0.2363285335178138,1,baixa_transicao,kmeans_k3
Argentina,2008,ARG,40424151.0,747157417513.0,,0.0,0.0,0.0,29.932601928710938,1.2100000381469729,0.9925354719161988,0.0,400.6199951171875,21.97513198852539,3.155708312988281,433.3070373535156,17.516069412231445,47.99111557006836,1.940000057220459,46.363651275634766,0.3350532650947571,26.16547203063965,1.057716965675354,1.5913379192352295,2.005956649780273,127.38999938964844,3151.333984375,121.91000366210938,15.100343704223633,1.1501628160476685,9.99578857421875,21746.203125,1.1765549182891846,1.3162763118743896,9.971076965332031,2030.221923828125,82.06999969482422,18985.994140625,767.49267578125,67.32015228271484,87.89398193359375,1.1156669855117798,4.7652587890625,431.8872375488281,1618.0921630859375,65.41000366210938,10683.8916015625,-1.7175999879837036,-7.488250732421875,10599.6904296875,428.4834899902344,53.654335021972656,49.46013259887695,48.84000015258789,-0.0655166804790496,-0.7112197875976562,82.32109832763672,771.8158569335938,31.200000762939453,2036.43359375,25.592649459838867,9.427489280700684,0.593502938747406,-0.1252950727939605,105.71009063720705,985.5494384765624,39.84000015258789,2615.023193359375,32.67984390258789,12.106019020080566,5.480000019073486,4.301750659942627,1.9299677610397337,0.2166805267333984,19.50923538208008,182.8115081787109,7.389999866485596,482.6133728027344,6.061848640441895,2.23421597480774,0.6486883759498596,2.05010986328125,318.08935546875,364.1387634277344,14.720000267028809,7868.794921875,-1.0720429420471191,-4.7645263671875,10876.4130859375,439.6697692871094,12.074481010437012,36.42789077758789,3.768687725067138,1.2100000381469729,,12.61880111694336,0.4222769737243652,29.932601928710938,,93.2286148071289,0.9925354719161988,,0.431593656539917,3015.771484375,879.07177734375,0.2938458919525146,-0.341975599527359,86.20085144042969,802.7379760742188,32.45000076293945,2132.40966796875,26.617996215820312,9.871803283691406,31.95592498779297,8.952800999395549e-05,0.0003791556810028,0.0,0.0,0.0093794343993067,0.0,4.3421263399068266e-05,-31.88985824584961,-0.0531223192811012,0.1106888577342033,0.9895074367523192,0.0399999991059303,2.7381863594055176,0.0328110866248607,0.0126761924475431,,,,-0.1521883010864257,-0.519360637664797,,0.2222532904786472,1,baixa_transicao,kmeans_k3
Argentina,2009,ARG,40854832.0,705920838368.0,,0.0,0.0,0.0,29.12752342224121,1.190000057220459,0.9728581309318542,0.0,382.3599853515625,-45.07364654541016,-7.8951311111450195,235.49082946777344,9.620938301086426,42.834590911865234,1.75,-49.06832885742188,-0.5190040469169617,13.186026573181152,0.5387129187583923,1.430673599243164,1.137497067451477,128.47999572753906,3144.793212890625,122.31999969482422,15.810202598571776,-3.062055349349976,-26.91766357421875,20858.09765625,1.2071524858474731,-4.9309983253479,-37.84505081176758,1916.2972412109373,78.29000091552734,17859.517578125,729.6475830078125,64.0042495727539,86.26725769042969,-3.133143424987793,-13.531646728515623,418.3555908203125,1510.225341796875,61.70000076293945,10240.0517578125,-5.9445905685424805,-25.471588134765625,9864.4853515625,403.0119018554688,50.44146728515625,49.4627685546875,46.77000045776367,10.956809997558594,8.540283203125,90.86138153076172,847.3905639648438,34.619998931884766,2224.005859375,28.302810668945312,10.742669105529783,10.5047025680542,10.441274642944336,116.1513671875,1077.71826171875,44.02999877929688,2843.0263671875,35.99574661254883,13.732738494873049,6.159999847412109,4.794520378112793,10.67080783843994,1.9684524536132808,21.47768783569336,200.2211151123047,8.180000305175781,525.7073974609375,6.687377452850342,2.539337158203125,-5.161529064178467,-16.41827392578125,301.67108154296875,363.2373352050781,14.84000015258789,7383.9755859375,-9.948824882507324,-43.741973876953125,9691.0888671875,395.92779541015625,12.132112503051758,35.666996002197266,3.715424299240112,1.190000057220459,,-1.413315773010254,-0.0532634258270263,29.12752342224121,,90.94210052490234,0.9728581309318542,,0.4392798244953155,2994.015380859375,852.1541137695312,10.466851234436035,8.472822189331055,94.67367553710938,877.4971313476562,35.849998474121094,2317.31884765625,29.30837059020996,11.193401336669922,-47.05358505249024,-0.0001794601557776,0.0001996955252252,0.0,0.0,0.0048879291862249,0.0,2.3610282369190827e-05,-12.203621864318848,-0.0140181854367256,0.0966706722974777,0.979076325893402,0.0399999991059303,2.366199254989624,0.0327011123299598,0.0114295091480016,,,,1.3215980529785156,-0.4482377052307144,,0.2557929530504306,1,baixa_transicao,kmeans_k3
