cluster_transicao,nome_sugerido,caracteristica_principal,variaveis_acima_media,variaveis_abaixo_media,media_renewables_share_energy,desvio_padronizado_renewables_share_energy,media_fossil_share_energy,desvio_padronizado_fossil_share_energy,media_low_carbon_share_energy,desvio_padronizado_low_carbon_share_energy,media_renewables_share_elec,desvio_padronizado_renewables_share_elec,media_fossil_share_elec,desvio_padronizado_fossil_share_elec,media_low_carbon_share_elec,desvio_padronizado_low_carbon_share_elec,media_carbon_intensity_elec,desvio_padronizado_carbon_intensity_elec,media_energy_per_capita,desvio_padronizado_energy_per_capita,media_energy_per_gdp,desvio_padronizado_energy_per_gdp,media_variacao_renewables_share_energy_pp,desvio_padronizado_variacao_renewables_share_energy_pp,media_tendencia_renovaveis_5anos,desvio_padronizado_tendencia_renovaveis_5anos,media_indice_transicao_preliminar,desvio_padronizado_indice_transicao_preliminar,perfil_transicao,qtd_observacoes,ano_minimo,ano_maximo,qtd_paises,media_renewables_share_energy_original,media_fossil_share_energy_original,media_low_carbon_share_energy_original,media_renewables_share_elec_original,media_fossil_share_elec_original,media_low_carbon_share_elec_original,media_carbon_intensity_elec_original,media_energy_per_capita_original,media_energy_per_gdp_original,media_variacao_renewables_share_energy_pp_original,media_tendencia_renovaveis_5anos_original,media_indice_transicao_preliminar_original
0,Perfil intermediario,Indicadores proximos da media geral ou combinacao mista de sinais.,energy_per_gdp (2.50 dp); energy_per_capita (2.03 dp); fossil_share_energy (0.34 dp),low_carbon_share_energy (-0.34 dp),22.742217437080715,-0.2805097479468073,77.25778231413469,0.33728722894051594,22.742217437080715,-0.3372872590866369,67.41100361036217,0.07286262771887568,32.58899481400199,-0.03518114006048797,67.41100361036217,0.03518108414034375,256.10913218622625,0.045348976289344874,30389.397333559784,2.025701428867201,2.524815497191056,2.49942688446857,0.1363867884096892,-0.030458247984839367,0.27229539622431004,0.07730297177387711,0.5155930510602977,-0.22416833915608644,transicao_intermediaria,23,2000,2022,1,22.742217437080715,77.25778231413469,22.742217437080715,67.41100361036217,32.58899481400199,67.41100361036217,256.10913218622625,30389.397333559784,2.524815497191056,0.1363867884096892,0.27229539622431,0.5155930510602977
1,Perfil fossil-intensivo,"Indicadores fosseis e/ou intensidade de carbono acima da media, com baixo carbono sem destaque positivo.",fossil_share_elec (0.98 dp); carbon_intensity_elec (0.95 dp); fossil_share_energy (0.74 dp),low_carbon_share_elec (-0.98 dp); renewables_share_elec (-0.98 dp); indice_transicao_preliminar (-0.94 dp); renewables_share_energy (-0.76 dp),18.28547328031516,-0.7579099714466979,81.00862874864023,0.7443924231260232,18.991371239287943,-0.7443924235215985,43.391539442429846,-0.9785178255116826,55.15940545458312,0.9820767032219568,44.84059431793493,-0.9820766945445935,389.39853213248995,0.9549277033997415,14621.38822312128,0.023929059422101072,1.1601041928686278,-0.04988779401763537,0.14782568774645824,-0.024924919182059913,-0.013161281303124854,-0.2108979983346166,0.3286464030712011,-0.9375460305603766,baixa_transicao,109,2000,2025,7,18.28547328031516,81.00862874864023,18.991371239287943,43.391539442429846,55.15940545458312,44.84059431793493,389.39853213249,14621.38822312128,1.1601041928686278,0.1478256877464582,-0.0131612813031248,0.3286464030712011
2,Perfil renovavel/baixo carbono,"Indicadores renovaveis e de baixo carbono acima da media, sem destaque fossil equivalente.",low_carbon_share_energy (0.91 dp); renewables_share_energy (0.91 dp); indice_transicao_preliminar (0.85 dp); low_carbon_share_elec (0.84 dp),fossil_share_energy (-0.91 dp); fossil_share_elec (-0.84 dp); carbon_intensity_elec (-0.83 dp); energy_per_gdp (-0.49 dp),33.84293571890217,0.9085837253022699,65.74896527643074,-0.9118439409943513,34.25103495872184,0.9118439509205327,84.63141169510489,0.8266346656947969,14.809434817502583,-0.8365133419669457,85.19056497408648,0.8365133446467149,128.15866094874585,-0.8277964261828881,11182.55474084165,-0.4126360008677837,0.9263454852280794,-0.486554877176215,0.2749524051195957,0.03656997697306902,0.3925991021193442,0.19876324044551644,0.7958465395675375,0.8452629065485908,transicao_avancada,127,2000,2025,8,33.84293571890217,65.74896527643074,34.25103495872184,84.63141169510489,14.809434817502584,85.19056497408648,128.15866094874585,11182.55474084165,0.9263454852280794,0.2749524051195957,0.3925991021193442,0.7958465395675375
