variavel,qtd_ausentes,pct_ausentes,minimo,maximo,media
renewables_share_energy,679,61.78,1.001225233078003,49.6159782409668,21.39604061018853
fossil_share_energy,679,61.78,49.37820053100586,98.99877166748048,78.22799845195952
low_carbon_share_energy,679,61.78,1.001225233078003,50.62179946899414,21.7720015500273
renewables_share_elec,735,66.88,20.75268745422364,100.0,66.70433958284147
fossil_share_elec,810,73.7,0.0,79.24730682373047,32.8914102344648
low_carbon_share_elec,735,66.88,20.75268745422364,100.0,67.84455839618222
carbon_intensity_elec,840,76.43,23.68000030517578,588.1699829101562,249.4637064989009
co2_per_unit_energy,1099,100.0,,,
energy_per_capita,547,49.77,1632.1632080078125,35695.15234375,12132.8282338018
energy_per_gdp,564,51.32,0.3597214818000793,4.356720447540283,1.154594367686833
razao_renovavel_fossil_energy,1099,100.0,,,
variacao_co2_pct,1099,100.0,,,
variacao_renewables_share_energy_pp,686,62.42,-6.828969955444336,8.031091690063477,0.30125247826010493
media_movel_co2_3anos,1099,100.0,,,
tendencia_renovaveis_5anos,687,62.51,-3.4339736938476553,3.242465305328369,0.3036174428115752
indice_transicao_preliminar,595,54.14,0.0,1.0,0.48138112157459334
