cluster_transicao,perfil_transicao,qtd_observacoes,ano_minimo,ano_maximo,qtd_paises,media_renewables_share_energy,media_fossil_share_energy,media_low_carbon_share_energy,media_renewables_share_elec,media_fossil_share_elec,media_low_carbon_share_elec,media_carbon_intensity_elec,media_energy_per_capita,media_energy_per_gdp,media_variacao_renewables_share_energy_pp,media_tendencia_renovaveis_5anos,media_indice_transicao_preliminar
0,transicao_intermediaria,23,2000,2022,1,22.742217437080715,77.25778231413469,22.742217437080715,67.41100361036217,32.58899481400199,67.41100361036217,256.10913218622625,30389.397333559784,2.524815497191056,0.1363867884096892,0.27229539622431004,0.5155930510602977
1,baixa_transicao,109,2000,2025,7,18.28547328031516,81.00862874864023,18.991371239287943,43.391539442429846,55.15940545458312,44.84059431793493,389.39853213248995,14621.38822312128,1.1601041928686278,0.14782568774645824,-0.013161281303124854,0.3286464030712011
2,transicao_avancada,127,2000,2025,8,33.84293571890217,65.74896527643074,34.25103495872184,84.63141169510489,14.809434817502583,85.19056497408648,128.15866094874585,11182.55474084165,0.9263454852280794,0.2749524051195957,0.3925991021193442,0.7958465395675375
