modelo_cluster,k,silhouette,davies_bouldin,calinski_harabasz
kmeans_k3,3,0.3673820663323012,1.0382991138795465,129.93219374306267
agglomerative_k5,5,0.3645304902641378,1.0869287181467404,124.3787411671121
kmeans_k5,5,0.3642325673827874,1.0689720681680104,128.93044818109266
agglomerative_k3,3,0.3625240012952982,1.0190411624346931,124.88212758628475
kmeans_k2,2,0.3605706383373588,1.135214190751603,175.63907287334794
kmeans_k4,4,0.35871256039574695,1.0905701451872156,126.45854056728734
agglomerative_k4,4,0.3581665281261318,1.0078950314071846,123.00629108081827
agglomerative_k2,2,0.3525645345484091,1.161750026408293,166.04624122655045
gmm_k2,2,0.2744000685192626,1.4029559782648957,105.01168113068164
gmm_k5,5,0.25485111358186796,1.262466289155696,88.09408429366816
gmm_k3,3,0.2320330988454967,1.5548690810702634,96.77258426321501
gmm_k4,4,0.19595772948137086,1.429147771999925,81.09186364891825
